	N=1	N=2	N=3	N=4	N=5
0	-0.884135516	-1.112743673	-1.265225046	-1.379413832	-1.470509173
1	-0.954891243	-1.197952002	-1.356297801	-1.473443378	-1.56623653
2	-1.030967623	-1.286744331	-1.449810524	-1.569217342	-1.663266363
3	-1.111887007	-1.37845624	-1.545195712	-1.666281161	-1.761235178
4	-1.197054939	-1.472465125	-1.641975195	-1.76427416	-1.859865626
5	-1.285813774	-1.568223602	-1.739765338	-1.862921461	-1.958953226
6	-1.37749889	-1.66527613	-1.838270984	-1.962020592	-2.058351484
7	-1.471487056	-1.763261097	-1.937272992	-2.061426625	-2.157957943
8	-1.567229998	-1.861902802	-2.03661345	-2.16103826	-2.257702339
9	-1.664271197	-1.960998104	-2.136181373	-2.260786065	-2.357537259
10	-1.762248103	-2.060401556	-2.235900348	-2.360623214	-2.457431134
11	-1.86088419	-2.160011472	-2.335718644	-2.460518534	-2.557363162
12	-1.959975648	-2.259758147	-2.435601724	-2.560451496	-2.657319759
13	-2.059376509	-2.359594557	-2.535526783	-2.660408691	-2.757292109
14	-2.1589847	-2.459489397	-2.635478898	-2.760381424	-2.857274529
15	-2.258730238	-2.559422049	-2.735448381	-2.86036409	-2.95726337
16	-2.358565905	-2.659379045	-2.835428971	-2.960353086	-3.057256295
17	-2.458460264	-2.759351652	-2.935416644	-3.06034611	-3.157251813
18	-2.558392605	-2.859334236	-3.035408827	-3.160341692	-3.257248977
19	-2.658349401	-2.95932318	-3.135403875	-3.260338895	-3.357247182
20	-2.758321879	-3.059316171	-3.235400741	-3.360337126	-3.457246049
21	-2.858304382	-3.159311731	-3.335398758	-3.460336007	-3.557245332
22	-2.958293275	-3.259308922	-3.435397504	-3.560335301	-3.657244879
23	-3.058286233	-3.359307145	-3.535396712	-3.660334855	-3.757244593
24	-3.158281772	-3.459306021	-3.635396211	-3.760334572	-3.857244412
25	-3.258278949	-3.559305312	-3.735395895	-3.860334395	-3.957244299
26	-3.358277164	-3.659304863	-3.835395696	-3.960334283	-4.057244227
27	-3.458276035	-3.75930458	-3.93539557	-4.060334212	-4.157244181
28	-3.558275322	-3.859304401	-4.03539549	-4.160334167	-4.257244153
29	-3.658274871	-3.959304288	-4.13539544	-4.260334139	-4.357244135
30	-3.758274586	-4.059304216	-4.235395408	-4.360334121	-4.457244123
31	-3.858274406	-4.159304171	-4.335395387	-4.460334109	-4.557244115
32	-3.958274293	-4.259304143	-4.435395375	-4.560334103	-4.657244111
33	-4.058274222	-4.359304125	-4.535395367	-4.660334098	-4.757244109
34	-4.158274176	-4.459304113	-4.635395362	-4.760334095	-4.857244106
35	-4.258274148	-4.559304107	-4.735395359	-4.860334093	-4.957244105
36	-4.35827413	-4.659304102	-4.835395357	-4.960334092	-5.057244105
37	-4.458274119	-4.759304099	-4.935395356	-5.060334092	-5.157244104
38	-4.558274111	-4.859304097	-5.035395355	-5.160334091	-5.257244104
39	-4.658274107	-4.959304096	-5.135395354	-5.260334091	-5.357244104
40	-4.758274103	-5.059304096	-5.235395354	-5.360334091	-5.457244104








































































































































































	
